actorName,actorMovieCount,actorAwardNominations,actorAwardWins
Perry King,98,3,8
Kim Johnston Ulrich,66,1,0
Betsy Palmer,61,1,1
Dorothy Dandridge,36,4,2
Ashley Barnett,2,0,0
Lee Moon-Su,3,0,0
Nikohl Boosheri,19,5,5
Pyotr Glebov,48,2,2
Jodi Benson,72,3,0
Phoebe Cates,19,0,0
Holly Aird,46,1,0
Anna Wintour,2,0,0
Bhaskar Roy Chowdhury,7,0,0
Christina Turley,1,0,0
John Stinson,13,0,0
Fernando Tejero,45,9,8
David Edwin Knight,2,0,0
Jean Glaudé,13,0,0
Tatsuo Matsumura,87,1,0
Jackie Debatin,97,0,0
Eiko Yamada,66,0,0
Mary Beth Hughes,102,0,0
Jerry Stiller,113,6,5
PJ McCabe,14,0,0
Karen Gillan,53,17,7
Renato Aragão,58,1,4
Julia Montgomery,36,0,0
Dan Haggerty,62,1,2
Ja Rule,40,7,0
Liz Renay,28,0,0
Oprah Winfrey,33,83,52
Kathryn Beck,33,1,1
Reiko Tokunaga,3,0,0
Paul Pena,2,0,0
Fabrice Rodriguez,20,0,0
Robert Gustafsson,60,2,3
Olivia Alaina May,31,0,0
Chiwa Saito,181,0,0
Bill Moseley,121,2,3
Manuel Rubey,47,5,0
Simon Bird,12,2,2
William S. Hart,75,2,2
Kolya Spiridonov,12,1,1
Kristo Ferkic,22,0,0
Alicia Witt,82,4,3
Mala Sinha,122,4,2
Béatrice Bonifassi,1,0,0
Stuart Whitman,188,3,4
Gary Piquer,43,2,2
Catherine O'Hara,101,28,15
Marco Antonio Aguirre,38,0,0
Coco Jack Gillies,13,1,1
Chandler Riggs,10,4,4
Mark Kelly,82,0,0
Tony Brownrigg,12,1,1
Michael Caine,170,65,38
Gloria Guida,32,1,1
Nermina Lukač,2,5,5
Ryôhei Uchida,142,0,0
Efthymis Papadimitriou,39,3,2
Jacqueline Obradors,55,3,0
T'Nia Miller,22,0,0
Eric Campbell,12,0,0
Vivian Wu,70,3,0
Chris Waitt,8,4,4
John Paul Tremblay,27,9,2
Martin Bahne,22,1,0
Alyssa Kay,8,0,0
Tatsuo Umemiya,193,0,0
John Lithgow,114,51,28
Vic Savage,2,0,0
Leif Erickson,149,2,2
Bobby Deol,46,1,1
Cyrille Thouvenin,45,1,0
Larry Fessenden,100,9,8
Deborah Secco,47,13,8
Aleksei Ananishnov,3,0,0
Leila Hatami,37,5,6
Brian Robbins,26,7,4
Pom Klementieff,31,0,0
Robert Horton,55,0,0
Miguel Ángel Solá,97,9,14
Eddie Holden,10,0,0
Olga Gromova,1,0,0
Senad Bašić,49,0,0
Steven Bone,2,0,0
Cam'ron,14,1,0
Marino Masé,107,0,0
John Oliver,24,36,22
Jitka Novákova,15,0,0
Bruce Greenwood,148,20,7
Peter Palmer,38,0,0
Daniel Quinn,61,0,0
Michele Placido,124,32,29
Zoë Mannhard,4,0,0
Jason Presson,20,1,0
Victor Alfieri,44,0,0
Sergey Koltakov,40,2,0
Fritzi Haberlandt,39,1,6
Kirsten Storms,28,5,2
Debbie Doebereiner,2,0,0
Jeannie Epper,29,1,3
Kim Nam-gil,20,2,1
Dmitriy Dyuzhev,50,8,3
Paco Martínez Soria,36,2,2
Huub Stapel,109,1,3
Mary Kohnert,11,0,0
Lou Ferrigno,65,3,1
Yūrei Yanagi,72,0,0
Toshihiko Seki,222,0,0
Patrick McVey,107,0,0
Corey Sevier,83,11,5
Éva Szerencsi,27,0,0
Judah Bellamy,5,0,0
Nadine Velazquez,52,7,1
Adrian Holmes,137,2,2
Jason Behr,28,4,1
Samuel Shipway,5,0,0
Kostas Nikouli,8,1,0
Marcin Kowalczyk,10,1,2
Yang Kuei-Mei,52,5,7
Kenji Sahara,98,0,0
Arthur Agee,6,0,0
Moritz von Zeddelmann,19,0,0
Bruno Todeschini,139,3,1
Peter Coyote,160,3,6
Maciej Stuhr,54,7,1
May Heatherly,53,0,0
Charles Kayser,1,0,0
Luiz Fernando Guimarães,39,3,4
Jean-Luc Couchard,68,1,0
Guinevere Turner,56,5,3
Brianne Siddall,167,0,0
Robert Byrd,1,0,0
Miriam Makeba,3,1,1
Cory McAbee,14,2,4
Mao Inoue,39,1,2
Krista Allen,107,1,2
Beste Bereket,13,1,1
Chen Bolin,50,1,4
András Kozák,119,0,0
Stephen Lynch,3,0,0
Sadie Frost,54,1,0
Clare Higgins,73,1,0
Lionel Abelanski,126,1,0
David Caruso,45,5,1
Ulrich Noethen,107,15,13
