actorName,actorMovieCount,actorAwardNominations,actorAwardWins
David Niven,112,7,9
Tom Berenger,107,8,7
Jimmy Bennett,50,5,2
Bradford Dillman,140,3,3
Ashton Kutcher,36,40,18
Jon Favreau,69,11,7
Lennie Loftin,53,0,0
Chris Makepeace,22,1,0
Nicholas Hope,79,2,1
Pavel Derevyanko,56,5,1
Timothy Spall,140,30,20
Bono,55,22,10
Method Man,73,3,1
Junichi Okada,38,2,3
Mónica del Carmen,26,1,1
Alan Ladd,100,1,6
Julianne Hough,14,9,3
Stellan Skarsgård,142,15,11
Charles Bronson,163,2,4
Hiroki Hasegawa,44,2,0
Donnie Yen,76,18,17
Jonny Weston,20,0,0
Gwyneth Paltrow,56,51,23
Peter Paul,13,1,0
Jill Clayburgh,71,17,4
Catherine McCormack,42,1,1
Fouad Habash,1,1,0
Derek Mears,108,2,0
Lee Chun-hee,27,0,0
Ari Folman,1,35,36
Adrian Pang,45,1,1
Pyotr Zinovyev,2,0,0
Peter Boyle,95,25,4
Sonu Sood,63,9,6
Glynis Johns,91,2,3
Danielle Macdonald,26,1,2
Ray Romano,47,53,17
J.K. Simmons,188,35,60
Ryan Merriman,56,8,6
Eric Roberts,516,17,16
Theresa Randle,29,1,0
Andre Gower,41,6,2
Alexia Fast,43,2,2
Talia Zucker,18,0,0
Sam J. Jones,82,1,2
Nathan Fillion,87,20,13
Richard Kiley,136,8,9
Josie Ayers,4,0,0
"""Ryan ONeal""",65,10,5
Michelle Pfeiffer,63,51,27
Murray Bartlett,44,2,2
Inés Sastre,16,2,0
Donald Austin,2,0,0
Steve McQueen,5,88,84
Benedict Cumberbatch,74,105,32
Trevor Howard,119,14,4
Samantha Ferris,80,1,0
Justin Chatwin,45,1,0
Ben Foster,54,32,7
Clara Bow,59,1,1
Shima Iwashita,111,6,13
Victoria Beckham,17,5,3
Ohad Knoller,32,3,3
Jessica Chastain,54,111,79
Russell Harvard,14,0,0
Jason Beghe,102,0,0
Ving Rhames,130,22,6
Franka Potente,56,7,9
Kaoru Kobayashi,95,2,7
