directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Aamir Khan,1,46,35
Michael Haneke,24,89,103
Thomas Gilou,18,2,5
Karan Johar,8,28,28
Seth Michael Donsky,2,0,0
Guy Ferland,61,4,6
Robert J. Flaherty,15,4,4
Ted Berman,2,0,0
James Fargo,24,0,0
Ilya Naishuller,5,1,1
Sajid Khan,6,5,7
Raja Menon,4,1,0
Fatih Akin,19,40,47
Michael Winner,42,1,0
Alain Chabat,8,5,2
Zhang Yimou,32,51,66
Roger Donaldson,27,7,4
Shim Hyung-Rae,10,1,0
Paiman Kalayeh,1,0,0
Brandon Trost,8,2,2
Rowan Joffe,5,7,4
George Nolfi,7,3,0
Jonathan Hensleigh,3,2,0
Walt Becker,10,1,0
Oren Moverman,4,16,12
David Boyd,28,6,2
Vivek Agnihotri,12,0,0
Sergio Leone,8,4,8
Ralph S. Singleton,2,3,1
Byron Howard,6,13,11
Tom Ford,3,50,13
Yam Laranas,11,16,3
Joshua Tickell,12,1,3
Peter Godfrey,46,0,0
Anthony Leondis,4,0,0
Mike Marvin,11,0,0
Jeff Tremaine,18,0,0
Erik Canuel,38,7,3
Phil Joanou,29,0,0
Michael Haigney,6,0,0
Shana Feste,6,3,0
Stéphane Aubier,20,11,18
Gabriele Salvatores,25,24,25
Rusty Cundieff,25,2,1
Nanette Burstein,12,9,8
Tony Gilroy,4,40,5
Gary Sherman,19,0,0
Perry Lang,48,2,2
Michael Lembeck,66,5,1
Pete Travis,17,7,3
Sid Smith,2,0,0
Michael Dougherty,8,9,4
Herb Freed,11,0,0
Glenn A. Jordan,63,18,6
Marielle Heller,7,19,9
David Miller,52,1,0
Matthew Robbins,7,7,2
Roger Michell,22,16,6
Rowland V. Lee,58,1,1
Laurence Dunmore,3,2,0
Peter Cattaneo,16,11,22
Bryan Singer,20,23,19
Mark Dindal,4,3,0
Michael Karbelnikoff,3,0,0
Andrew J. Smith,6,4,4
Stephen Gyllenhaal,50,4,2
Melvin Frank,17,16,12
Stuart Gillard,51,3,5
Ed Harris,2,51,32
Steven Shainberg,8,8,1
Bruce A. Evans,2,4,2
Dan St. Pierre,5,2,0
Park Young-hoon,3,0,0
Mark Jones,1,0,0
