directorName,directorMovieCount,directorAwardNominations,directorAwardWins
Harold Becker,20,2,2
Dany Boon,10,7,4
Nick Hurran,30,9,2
Jason Moore,1,0,0
John Sturges,44,14,6
Lynn Shelton,26,12,9
Frédéric Videau,3,1,1
Sergey Ginzburg,11,1,0
Jeff Broadstreet,9,0,0
Edward Burns,15,5,10
Mark Sandrich,77,1,1
Rupert Julian,60,0,0
George P. Cosmatos,11,2,1
Ben Gluck,5,1,1
Aleksey Mizgiryov,4,12,9
Michael Steinberg,6,6,2
Patricia Birch,9,4,2
Henry King,116,11,6
Stephen Carpenter,4,1,1
Alan Johnson,2,7,4
Jacques Audiard,12,66,56
Christopher Coppola,19,0,0
Billy Ray,4,29,2
David Seltzer,9,5,5
Steve James,26,43,35
Kevin Munroe,5,1,0
Alison Maclean,21,9,8
John Swanbeck,1,0,0
Sara Sugarman,8,6,6
Derrick Borte,6,2,0
Robert Moresco,8,9,20
Vincent Paronnaud,8,29,22
Sharmeen Obaid-Chinoy,10,10,20
Allan Dwan,407,2,2
Shekhar Kapur,15,8,10
Peter Landesman,3,7,1
Ralph Zondag,2,1,0
Luke Scott,12,1,1
Wayne Kramer,7,6,1
Stephen Hopkins,28,12,4
Eric Nicholas,2,0,0
Danny Steinmann,4,0,0
Steven Spielberg,58,200,190
Jimmy T. Murakami,24,3,3
Noah Baumbach,14,52,21
Alberto Rodríguez,11,35,29
Courtney Solomon,3,1,0
Yılmaz Güney,20,4,12
Kari Skogland,55,21,13
Eric Lavaine,11,0,0
Mike McCoy,3,1,1
Rich Moore,12,13,20
Maksim Pezhemskiy,14,1,1
Gregory Wilson,3,0,0
Konstantin Maksimov,3,1,0
John Moore,9,0,0
Ron Howard,43,75,39
Nacho Vigalondo,24,16,22
Andrzej Żuławski,15,8,10
Susan Stroman,2,2,2
Jessie Nelson,5,2,2
Julian Aymes,3,0,0
James Goldstone,60,2,1
Marco Berger,10,9,5
Todd Robinson,10,3,7
Rod Hardy,62,2,2
Joona Tena,18,2,1
Paul Gross,4,20,17
Anurag Kashyap,23,44,23
Johannes Roberts,14,0,0
Leonard Nimoy,12,18,13
Mike Cahill,7,9,5
Lee David Zlotoff,6,2,2
Mike Bigelow,1,0,0
Kevin Smith,30,24,14
Conor McMahon,10,2,2
Rohit Shetty,14,9,5
Theodore Melfi,8,15,6
Vicky Jenson,10,7,15
Peter Lord,16,24,19
Marcos Siega,48,5,3
Peter Hall,20,4,4
Alexander Payne,14,125,83
James McTeigue,10,3,0
Stig Bergqvist,13,2,10
Allan A. Goldstein,29,2,2
Sam Wanamaker,1,0,0
George Armitage,7,2,2
David McNally,5,0,0
Bob Fosse,8,11,14
Matt Dillon,3,25,22
Katherine Dieckmann,10,2,0
Barry Sonnenfeld,23,11,7
Elliot Greenebaum,1,4,4
David Yates,27,20,16
Duncan Tucker,2,5,7
Anthony Byrne,17,5,0
Ariel Vromen,7,2,2
Goldie Behl,4,1,0
Steve Hickner,6,1,1
Florian Gallenberger,9,7,12
Jaume Balagueró,16,13,40
Jack Heller,3,0,0
Bob Misiorowski,7,0,0
John G. Avildsen,29,7,5
Jean-Daniel Pollet,23,0,0
Daniel Sackheim,47,7,2
Callan Brunker,3,0,0
David Lowery,23,26,18
"""Sam OSteen""",8,6,6
Franco Zeffirelli,25,14,21
Aleksey Uchitel,12,24,16
John Newland,1,0,0
Dennis Iliadis,7,2,2
Subodh Bhave,1,1,0
Katie Aselton,2,0,0
Chad Hartigan,8,7,7
Deb Hagan,3,12,12
Ulrich Seidl,23,20,25
Ram Gopal Varma,63,19,10
Scandar Copti,9,4,13
Matt Johnson,3,21,7
Willard Huyck,4,4,4
Scott Ziehl,10,1,1
Asia Argento,17,14,16
Bruce Paltrow,14,11,11
Patrick Lussier,10,3,1
Joel Coen,25,296,138
Jackie Chan,18,48,40
Doug Atchison,3,3,3
David Soren,5,4,0
Joseph Ruben,16,3,4
Patrick Osborne,3,3,7
Philipp Stölzl,29,8,2
Renny Harlin,32,12,3
Jaco Van Dormael,17,13,28
Bruno Dumont,12,28,26
Joseph Henabery,208,0,0
Michael Walker,6,3,3
King Vidor,78,10,14
Erik Poppe,8,25,11
Maccio Capatonda,13,2,0
Dave Filoni,6,5,4
Chris Stokes,23,0,0
Mike Gabriel,3,4,4
Jayro Bustamante,4,11,14
Tom Holland,1,16,14
Gregory Jacobs,3,3,3
Tim Pope,64,0,0
Tom Shoval,5,6,2
Jon Gunn,6,4,19
Bertrand Tavernier,36,50,48
Annabel Jankel,12,2,2
Tomm Moore,5,17,19
Mohamed Khan,25,4,3
Bruce Robinson,6,3,6
Newt Arnold,3,1,1
William Riead,29,1,1
Zack Snyder,17,13,4
Marianna Palka,6,6,2
Jono Oliver,5,1,1
Rob Marshall,11,21,15
Carroll Ballard,12,4,4
Peter Jackson,21,134,137
Edward Berger,21,11,12
"""Gavin OConnor""",20,3,4
Michael Burke,3,1,7
Brian Horiuchi,1,0,0
John Stephenson,4,4,2
Ben Stassen,17,3,0
Eric Wirix,2,0,0
Paul Weiland,16,4,1
Nora Ephron,8,21,11
Alphonse Putharen,3,2,2
Phyllida Lloyd,4,3,2
Bille Woodruff,67,4,0
Dean Wright,1,8,2
Nick Love,9,3,0
Lana Wachowski,12,23,12
Bob Saget,11,2,1
Nancy Meyers,7,5,7
John Murlowski,25,0,0
Stephen King,1,8,7
Herschell Gordon Lewis,38,1,2
Jeff Schaffer,8,15,7
Raja Gosnell,12,0,0
Stuart Paton,66,0,0
Richard Thorpe,186,4,1
Liu Chia-Liang,26,2,5
Francis Ford Coppola,35,53,52
Nathan Frankowski,8,1,6
Justin Paul Miller,4,1,1
Zoya Akhtar,7,4,6
Sanaa Hamri,47,5,0
Mohit Suri,12,1,0
Nick Murphy ,18,4,8
Ciaran Foy,10,5,11
Isaac Florentine,28,1,0
Russell Holt,7,0,0
Jay Oliva,18,0,0
Fiorella Infascelli,11,4,1
Richard Raymond,4,1,6
Andy Fickman,21,2,1
James Lapine,8,2,1
Richard Linklater,29,145,111
Michael Tuchner,46,3,1
Brett Ratner,54,6,8
F.W. Murnau,21,3,3
Rupert Wyatt,11,7,2
Jon M. Chu,22,1,0
John Hughes,8,2,1
Patricia Cardoso,14,1,8
Rolf de Heer,20,49,41
Seth Gordon,22,1,3
Zak Levitt,5,1,1
Stephen Gaghan,6,18,12
Matt Reeves,13,8,2
Daniel Stamm,9,2,2
Tim Burton,38,72,23
Fede Alvarez,10,6,1
Eric Schaeffer,13,8,8
Christian E. Christiansen,15,10,1
Matt Dorff,1,0,0
Sam Levinson,2,5,1
Patrick Keiller,7,1,1
Olivier Megaton,22,2,2
Ruggero Deodato,35,1,0
Michael Herz,9,5,1
Eric Toledano,11,26,17
Shane Meadows,18,26,28
Cheol-hie Park,1,1,1
Joseph Anthony,9,1,1
Mennan Yapo,3,1,2
Aaron Hann,2,1,0
Wayne Beach,1,0,0
Zach Cregger,3,1,0
Charles Crichton,51,9,8
François Ozon,41,79,30
Howard Hawks,47,8,5
Michael Davis,7,3,3
Lal,1,0,0
Frank Pierson,19,17,19
Stuart McDonald,30,2,11
Fred Dekker,4,2,2
Neill Fearnley,75,9,2
Ivan Engler,2,2,1
Ron Shelton,11,2,7
Peter Farrelly,20,4,19
Matt Williams,3,10,7
Takashi Miike,103,49,32
Ray Lawrence,3,8,17
Cameron Crowe,16,44,21
Peter Segal,27,1,0
Kimberly Peirce,16,13,15
Sue Corcoran,3,0,0
Seth MacFarlane,12,57,23
Gary McKendry,2,6,6
Rachid Bouchareb,20,19,39
Scott Derrickson,9,5,1
Jill Culton,3,1,0
John Frankenheimer,52,40,20
K. S. Ravikumar,27,2,5
Joe Menendez,38,1,2
John Irvin,44,6,5
AJ Kparr,1,0,0
Angelina Jolie,6,111,56
Tony Gatlif,22,10,20
Wil Shriner,16,2,0
Jim Abrahams,11,2,4
Donald Petrie,37,3,2
Dennis Dugan,38,4,1
Chris McKay,11,15,6
Frank Whaley,5,4,5
Tom DiCillo,17,8,15
Mary Harron,26,10,5
John Erick Dowdle,9,3,1
Laurie Collyer,6,10,8
Lena Dunham,13,39,10
Rod Daniel,1,0,0
Dick Clement,16,15,9
Floria Sigismondi,80,3,0
Friðrik Þór Friðriksson,22,12,24
Nelson McCormick,60,1,0
Fernando León de Aranoa,13,29,48
Mike Binder,15,1,2
Courtney Hunt,5,17,16
Jay Lowi,5,1,7
Dan Trachtenberg,6,4,1
Hamilton Luske,33,7,5
Kodi Rama Krishna,86,1,0
Martin Prakkat,3,2,2
David S. Ward,6,10,3
Lance Rivera,5,0,0
Alan Parker,23,30,23
Alfonso Aráu,13,8,13
Whit Stillman,7,25,11
Brian A Miller,10,1,1
David Michôd,12,16,21
Alessandro Genovesi,6,2,1
Oktay Ortabasi,5,1,1
Ben van Lieshout,11,2,11
Kevin Tenney,16,2,2
John Carl Buechler,19,5,3
Michael Wadleigh,4,2,2
Don Michael Paul,17,0,0
Mike Hodges,26,5,4
André De Toth,44,3,3
Abrid Shine,3,1,1
Wallace Worsley,29,0,0
Burr Steers,9,6,2
Miloš Forman,20,25,46
Larry Charles,15,23,4
Dmitriy Kiselev,9,2,1
Renny Rye,29,1,1
David Zucker,14,2,4
Penny Marshall,15,6,18
Roar Uthaug,12,5,1
Léa Pool,20,32,20
Gautham Vasudev Menon,19,5,2
Zhang Meng,1,0,0
Vadim Perelman,7,10,5
Paul Maslansky,1,2,1
Dario Argento,25,5,11
Yukihiko Tsutsumi,76,4,4
Angel Gracia,5,1,1
John Pasquin,44,4,3
Homi Adajania,6,2,1
Jack Nicholson,4,104,87
Nalan Kumarasamy,3,1,1
Andrea Arnold,12,29,61
Nick Park,8,30,58
Karen Moncrieff,11,6,4
Evgeniy Bedarev,5,0,0
Louis C.K.,24,85,26
Franc. Reyes,4,1,1
Jack Smight,66,3,1
Kelly Makin,50,16,5
Robert Iscove,63,6,3
Rudolf van den Berg,17,4,8
Nick Hamm,19,3,3
Michael Ritchie,38,4,2
Arie Posin,3,1,2
Norman Jewison,44,25,35
Marco Brambilla,8,0,0
Catherine Jelski,4,1,1
Danny Pang,20,15,5
Alberto Lattuada,40,10,15
Paul Mazursky,19,27,22
Ning Hao,9,14,11
Akiva Goldsman,7,17,9
Nagaoka Hisaaki,9,0,0
Arnaud Desplechin,13,45,16
James Foley,32,6,1
Santiago Segura,11,3,8
Mansoor Khan,5,7,3
Dwain Esper,12,0,0
Ganesh Raj,4,0,0
Howard McCain,5,5,1
Rod Holcomb,82,6,2
Matt Ross,6,13,9
Apoorva Lakhia,8,0,0
Eddie Murphy,1,73,33
Marc Lawrence,8,0,0
Matthijs van Heijningen Jr.,9,2,0
Vikram Kumar,1,0,0
Vincent Ward,8,15,10
Charles Martin Smith,17,13,4
Alex Kendrick,6,6,6
Goro Miyazaki,3,2,2
Max Giwa,19,0,0
Cary Fukunaga,10,27,25
Wych Kaosayananda,9,0,0
Patrick Stettner,4,4,5
Jim Hanon,9,3,3
Aleksei Sidorov,4,1,1
Douglas McGrath,1,0,0
Gregory Nava,11,5,8
William Malone,18,3,1
Patrick Read Johnson,7,1,1
Richard Kelly,5,9,8
Jacques Tourneur,75,1,0
David Evans,31,7,3
Charlie Chaplin,72,7,21
Lisanne Pajot,2,5,2
Anthony Hopkins,3,63,50
Xavier Beauvois,10,30,17
Rebecca Miller,7,11,9
Adrian Lyne,12,4,6
Jim Fall,12,1,2
Rodrigo García,30,12,13
Jalil Lespert,10,1,7
Troy Byer,4,1,0
Paul Bartel,14,0,0
Brett Leonard,23,2,1
Shawn Levy,41,11,5
Tommy Lee Jones,4,90,43
Sekhar Kammula,8,2,0
Bryan Tucker,1,0,0
Lee Daniels,7,28,32
Richard C. Sarafian,62,1,0
John Cassavetes,16,21,15
Joe Carnahan,13,3,4
Paul Brickman,3,1,1
Kevin Reynolds,12,5,3
Mark Waters,20,6,1
Christopher Smith,1,0,0
Collin Schiffli,8,1,7
Eduardo Mignogna,13,15,15
Allan Arkush,74,10,2
Colin Higgins,3,4,1
Mervyn LeRoy,78,14,6
Robert B. Weide,12,18,8
Robert Schwentke,12,4,11
Harald Zwart,17,1,2
Kelsey T. Howard,2,0,0
G.W. Pabst,39,4,4
Stephen Kijak,10,4,7
Sean McNamara,65,12,13
George Roy Hill,19,10,7
Albert Brooks,8,34,29
Terry Zwigoff,8,26,16
Joe Swanberg,31,14,1
"""Dan OBannon""",3,8,4
Jonathan Caouette,10,10,8
Xavier Dolan,10,99,72
Arch Oboler,11,1,1
Don Medford,77,0,0
Frederik Du Chau,5,0,0
Anton Corbijn,103,16,17
Russell Crowe,5,74,36
Jessica Bendinger,1,0,0
Nathan H. Juran,38,3,2
Susan Montford,1,0,0
Simon Wincer,49,4,4
Jerry Lewis,24,16,17
Billy Wilder,27,61,50
Robert Resnikoff,2,0,0
"""Damien ODonnell""",9,13,25
Reinert Kiil,12,8,1
Charles T. Kanganis,15,0,0
Joel Bergvall,3,2,8
Bennett Miller,9,24,17
Tim Story,26,6,0
Vidhu Vinod Chopra,10,18,20
Corneliu Porumboiu,13,40,27
Nikolaj Arcel,6,29,14
Brad Peyton,17,3,0
Patrick Alessandrin,7,0,0
Robert Wuhl,3,5,2
David Lean,19,33,30
Irvin Kershner,32,3,6
"""John OHagan""",2,2,2
Antonio Banderas,3,41,41
Richard Wallace,63,1,1
Alex Cox,22,8,4
Haile Gerima,12,5,11
Michael G. Bartlett,4,0,0
Martha Coolidge,52,10,8
Jonathan Nossiter,9,5,4
John A. Davis,1,0,0
Paul Flaherty,11,19,5
Wes Ball,6,2,2
Bernardo Bertolucci,25,34,49
Mora Stephens,5,1,2
Tony Mitchell,17,1,1
Eric Werthman,2,0,0
Ignas Jonynas,5,4,1
John Fawcett,46,11,12
Liz Friedlander,62,0,0
